feature	importance
hydrophobicity_PONP930101.3.residue25	0.0005
hydrophobicity_FASG890101.2.residue75	0.0005
polarity.1.residue25	0.0005
hydrophobicity_CASG920101.3.residue75	0.0005
hydrophobicity_CASG920101.2.residue100	0.0005
hydrophobicity_CASG920101.1.residue100	0.0004
hydrophobicity_ARGP820101.2.residue100	0.0004
hydrophobicity_ARGP820101.2.residue50	0.0004
hydrophobicity_PRAM900101.2.residue75	0.0004
hydrophobicity_ARGP820101.1.residue50	0.0004
hydrophobicity_ZIMJ680101.1.residue25	0.0004
hydrophobicity_ZIMJ680101.1.residue100	0.0004
hydrophobicity_ZIMJ680101.3.residue100	0.0004
hydrophobicity_PONP930101.3.residue75	0.0004
secondarystruct.2.residue50	0.0004
secondarystruct.3.residue75	0.0004
polarizability.1.residue50	0.0004
secondarystruct.2.residue100	0.0004
hydrophobicity_PONP930101.1.residue25	0.0004
hydrophobicity_ZIMJ680101.3.residue50	0.0004
hydrophobicity_CASG920101.1.residue50	0.0004
polarizability.1.residue25	0.0004
normwaalsvolume.1.residue75	0.0004
hydrophobicity_FASG890101.3.residue75	0.0004
hydrophobicity_FASG890101.2.residue100	0.0004
polarity.2.residue25	0.0004
hydrophobicity_ENGD860101.1.residue100	0.0004
hydrophobicity_FASG890101.2.residue25	0.0004
polarity.2.residue50	0.0004
charge.2.residue50	0.0004
hydrophobicity_PONP930101.3.residue100	0.0003
hydrophobicity_ZIMJ680101.2.residue100	0.0003
hydrophobicity_PRAM900101.3.residue100	0.0003
hydrophobicity_PRAM900101.2.residue100	0.0003
normwaalsvolume.1.residue50	0.0003
normwaalsvolume.1.residue100	0.0003
hydrophobicity_ENGD860101.3.residue100	0.0003
hydrophobicity_FASG890101.1.residue75	0.0003
secondarystruct.3.residue50	0.0003
polarity.2.residue75	0.0003
normwaalsvolume.3.residue100	0.0003
polarity.1.residue100	0.0003
solventaccess.1.residue100	0.0003
polarity.3.residue100	0.0003
hydrophobicity_FASG890101.3.residue100	0.0001
charge.2.residue100	0.0001
